id,name,type,type_name,type_description,address,zip_code,city,country,latitude,longitude
0093820,Pfungen,m,M-Migros,Kleine Filiale mit Grundsortiment,Weiacherstrasse 1,8422,Pfungen,CH,47.5172846,8.6500909
0093830,Matzingen,m,M-Migros,Kleine Filiale mit Grundsortiment,Frauenfelderstrasse 95,9548,Matzingen,CH,47.5268556,8.9221349
0093840,Elgg,m,M-Migros,Kleine Filiale mit Grundsortiment,St. Gallerstrasse 16,8353,Elgg,CH,47.4983247,8.8617399
0093850,Hittnau,m,M-Migros,Kleine Filiale mit Grundsortiment,Jakob Stutz-Strasse 75,8335,Hittnau,CH,47.3631688,8.8254402
0093860,Kollbrunn,m,M-Migros,Kleine Filiale mit Grundsortiment,Tösstalstrasse 24,8483,Kollbrunn,CH,47.4578401,8.7707847
0093870,Dättnau,m,M-Migros,Kleine Filiale mit Grundsortiment,Ziegeleiplatz 2,8406,Dättnau,CH,47.477406,8.699324
0093900,Nürensdorf,m,M-Migros,Kleine Filiale mit Grundsortiment,Alte Winterthurerstrasse 7,8309,Nürensdorf,CH,47.445654,8.642428
0093910,Wiesendangen,m,M-Migros,Kleine Filiale mit Grundsortiment,Alte Frauenfelderstrasse 9,8542,Wiesendangen,CH,47.52307,8.773215
0094220,Neuhausen,m,M-Migros,Kleine Filiale mit Grundsortiment,Im RhyTech 4,8212,Neuhausen,CH,47.68262,8.613568
0094230,Rüti ZH,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Bandwiesstrasse 6,8630,Rüti,CH,47.2581252,8.8489703
0094250,Winterthur - Oberwinterthur,m,M-Migros,Kleine Filiale mit Grundsortiment,Guggenbühlstrasse 1,8404,Winterthur,CH,47.5112274,8.7587494
0094260,Winterthur - Töss,m,M-Migros,Kleine Filiale mit Grundsortiment,Zürcherstrasse 102,8406,Winterthur,CH,47.491878,8.7064972
0094270,Winterthur - Seen,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Hinterdorfstrasse 40,8405,Winterthur,CH,47.485586,8.7623465
0094290,Effretikon - Effi-Märt,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Märtplatz 5,8307,Effretikon,CH,47.428474,8.686003
0094300,Stein am Rhein,m,M-Migros,Kleine Filiale mit Grundsortiment,Kaltenbacherstrasse 41,8260,Stein am Rhein,CH,47.6514436,8.8526236
0094310,Schaffhausen - Vorstadt,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Bahnhofstrasse 56/58,8200,Schaffhausen,CH,47.69878,8.634116
0094320,Embrach,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Bülacherstrasse 17,8424,Embrach,CH,47.5101139,8.5917376
0094330,Frauenfeld - Passage,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Bahnhofplatz 72,8500,Frauenfeld,CH,47.558308,8.897511
0094340,Pfäffikon ZH,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Turmstrasse 9,8330,Pfäffikon,CH,47.3686343,8.7812381
0094710,Schaffhausen - Herblinger Markt,mmm,MMM-Migros,Grosse Filiale mit Vollsortiment,Stüdliackerstrasse 4,8207,Schaffhausen,CH,47.7203,8.664005
0094720,Wetzikon - Züri-Oberland-Märt,mmm,MMM-Migros,Grosse Filiale mit Vollsortiment,Bahnhofstrasse 151,8620,Wetzikon,CH,47.3276616,8.7996977
0094730,Winterthur - Neuwiesen,mmm,MMM-Migros,Grosse Filiale mit Vollsortiment,Strickerstrasse 3,8400,Winterthur,CH,47.499126,8.720857
0094740,Winterthur - Rosenberg,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Schaffhauserstrasse 154,8400,Winterthur,CH,47.518753,8.719194
0096531,Unterwetzikon,m,M-Migros,Kleine Filiale mit Grundsortiment,Hofstrasse 47,8620,Wetzikon ZH,CH,47.3135,8.795556
0123620,Biasca,m,M-Migros,Kleine Filiale mit Grundsortiment,Via General Guisan 26,6710,Biasca,CH,46.353636,8.972488
0123630,Crocifisso,m,M-Migros,Kleine Filiale mit Grundsortiment,Via San Gottardo 150,6942,Savosa,CH,46.0164918,8.9413299
0123640,Boffalora,m,M-Migros,Kleine Filiale mit Grundsortiment,Via Bernardino Luini,6830,Chiasso,CH,45.8373775,9.0240412
0123650,Minusio,m,M-Migros,Kleine Filiale mit Grundsortiment,Via S.Gottardo 56,6648,Minusio,CH,46.1753162,8.8113912
0123660,Paradiso,m,M-Migros,Kleine Filiale mit Grundsortiment,Via Geretta,6902,Lugano,CH,45.991271,8.943587
0123690,Tesserete,m,M-Migros,Kleine Filiale mit Grundsortiment,Via Luigi Canonica 40,6950,Tesserete,CH,46.066934,8.967299
0123700,Faido,m,M-Migros,Kleine Filiale mit Grundsortiment,Via Pian della Croce,6760,Faido,CH,46.4780639,8.7997979
0123710,Molino Nuovo,m,M-Migros,Kleine Filiale mit Grundsortiment,Via Monte Boglia 5,6900,Lugano,CH,46.0183828,8.9586482
0123720,Radio,m,M-Migros,Kleine Filiale mit Grundsortiment,Via Besso 74,6900,Massagno,CH,46.0097658,8.9390275
0123730,Solduno,m,M-Migros,Kleine Filiale mit Grundsortiment,Via A. Franzoni 43,6604,Locarno,CH,46.1684941,8.7824201
0123740,Giubiasco,m,M-Migros,Kleine Filiale mit Grundsortiment,Via Bellinzona 33,6512,Giubiasco,CH,46.178211,9.0136059
0123750,Ascona,m,M-Migros,Kleine Filiale mit Grundsortiment,Via Muraccio 2,6612,Ascona,CH,46.1540856,8.773702
0123760,Mendrisio,m,M-Migros,Kleine Filiale mit Grundsortiment,"Via L. Lavizzari 2, Piazza alla Valle",6850,Mendrisio,CH,45.8703698,8.9859445
0123770,Tenero,m,M-Migros,Kleine Filiale mit Grundsortiment,Via al Giardino 4,6598,Tenero,CH,46.18077,8.850552
0123780,Arbedo Castione,m,M-Migros,Kleine Filiale mit Grundsortiment,Via Corogna,6532,Castione,CH,46.2250903,9.0440908
0123790,Grancia,m,M-Migros,Kleine Filiale mit Grundsortiment,Via Cantonale 28,6916,Grancia,CH,45.9712181,8.9263036
0123800,Taverne,m,M-Migros,Kleine Filiale mit Grundsortiment,Via Cantonale,6807,Taverne,CH,46.060572,8.9315827
0123810,Pregassona,m,M-Migros,Kleine Filiale mit Grundsortiment,Via alla Bozzoreda 39,6963,Pregassona,CH,46.0236673,8.9672005
0123820,Maggia,m,M-Migros,Kleine Filiale mit Grundsortiment,Via Cantonale,6673,Maggia,CH,46.2455272,8.7058678
0123840,Campagna Adorna,m,M-Migros,Kleine Filiale mit Grundsortiment,Via Campagna Adorna,6850,Mendrisio,CH,45.861982,8.972938
0123850,Melano,m,M-Migros,Kleine Filiale mit Grundsortiment,Via Cantonale 89,6818,Melano,CH,45.9194213,8.9853335
0123870,Bellinzona Nord,m,M-Migros,Kleine Filiale mit Grundsortiment,Via San Gottardo 124,6500,Bellinzona,CH,46.209694,9.039044
0123880,Caslano,m,M-Migros,Kleine Filiale mit Grundsortiment,Via Stazione 80,6987,Caslano,CH,45.9769776,8.8766875
