id,name,type,latitude,longitude,city,radius_minutes
63900,Etoy,m,46.473931,6.425846,Etoy,20
63910,Ecublens - EPFL,m,46.523029,6.565145,Ecublens VD,20
63930,Orbe,m,46.723956,6.531316,Orbe,20
63940,Epalinges,mm,46.548465,6.670864,Epalinges,20
63950,La Tour-de-Peilz,m,46.452697,6.858005,La Tour-de-Peilz,20
63970,Lausanne - Saint-Paul,m,46.527802,6.616047,Lausanne,20
63991,Clarens - Centre,m,46.440759,6.893382,Clarens,20
64270,Montagny,mm,46.792458,6.621591,Montagny-près-Yverdon,20
64280,Renens - Florissant,m,46.530832,6.598313,Renens VD,20
64290,Morges,mm,46.509725,6.494764,Morges,20
64320,Chavannes - Renens,m,46.536398,6.57637,Chavannes-Renens,20
64325,Renens Silo,m,46.533162,6.58586,Renens,20
64330,Bussigny,mm,46.54754,6.553088,Bussigny-Lausanne,20
64340,Lausanne - La Sallaz,m,46.533347,6.646768,Lausanne,20
64350,Moudon,mm,46.668716,6.7971907,Moudon,20
64360,Payerne,mm,46.820247,6.939556,Payerne,20
64380,Rolle,mm,46.460997,6.338111,Rolle,20
64410,Montreux,mm,46.431698,6.909716,Montreux,20
64420,Vevey - Midi Coindet,mm,46.463506,6.840133,Vevey,20
64520,Lausanne - Chailly,mm,46.527309,6.651514,Lausanne,20
64570,Lausanne - Bergières,mm,46.531451,6.618467,Lausanne,20
64580,Lausanne - Closelet,mm,46.514869,6.632713,Lausanne,20
64590,Renens - Métropole,mm,46.538544,6.580878,Renens VD,20
64600,Pully,mm,46.511668,6.659662,Pully,20
64950,Yverdon - Métropole,mmm,46.781175,6.63551,Yverdon-les-Bains,20
64970,Lausanne - Métropole,mmm,46.522757,6.626973,Lausanne,20
65000,Crissier,mmm,46.554124,6.569005,Crissier,20
65010,Romanel-sur-Lausanne,mmm,46.55972,6.6113696,Romanel-s-Lausanne,20
65100,Aigle - Chablais Centre,mmm,46.316331,6.939938,Aigle,20
73120,Zug Herti,m,47.1780404,8.505821,Zug,20
73140,Luzern - Schlossberg,m,47.0611806,8.3078217,Luzern,20
73150,Luzern - Bahnhof Daily,m,47.0497659,8.3097035,Luzern,20
73170,Weinbergli Luzern,m,47.042706,8.3160305,Luzern,20
73180,Erstfeld,m,46.8251526,8.6500662,Erstfeld,20
73190,Zug - Grabenstrasse,m,47.1652634,8.5151671,Zug,20
73200,Buchrain - Tschannhof,m,47.0954005,8.3488964,Buchrain,20
73210,Reiden,m,47.2484269,7.9715113,Reiden,20
73220,Buochs,m,46.9777789,8.4159724,Buochs,20
73230,Luzern - Bahnhof,m,47.0501738,8.3103365,Luzern,20
73270,Luzern - Würzenbachstrasse,m,47.0550833,8.3437092,Luzern,20
